,,,,,,,,,
classes,,,,,,,,,
,cid,dept,class_number,title,credit_hours,,,,
classes,1,CSCI,6221,SW Paradigms,3,,,,
classes,2,CSCI,6461,Computer Architecture,3,,,,
classes,3,CSCI,6212,Algorithms,3,,,,
classes,4,CSCI,6220,Machine Learning,3,,,,
classes,5,CSCI,6232,Networks 1,3,,,,
classes,6,CSCI,6233,Networks 2,3,,,,
classes,7,CSCI,6241,Database 1,3,,,,
classes,8,CSCI,6242,Database 2,3,,,,
classes,9,CSCI,6246,Compilers,3,,,,
classes,10,CSCI,6260,Multimedia,3,,,,
classes,11,CSCI,6251,Cloud Computing,3,,,,
classes,12,CSCI,6254,SW Engineering,3,,,,
classes,13,CSCI,6262,Graphics 1,3,,,,
classes,14,CSCI,6283,Security 1,3,,,,
classes,15,CSCI,6284,Cryptography,3,,,,
classes,16,CSCI,6286,Network Security,3,,,,
classes,17,CSCI,6325,Algorithms 2,3,,,,
classes,18,CSCI,6339,Embedded Systems,3,,,,
classes,19,CSCI,6384,Cryptography 2,3,,,,
classes,20,ECE,6241,Communication Theory,3,,,,
classes,21,ECE,6242,Information Theory,2,,,,
classes,22,MATH,6210,Logic,2,,,,
,,,,,,,,,
current_sections,,,,,,,,,
,cid,section_id,proffessor_uid,year,semester,day,timeslot,,
current_sections,1,2023-3-1-1,x,23,3,M,1,,*section id = year - semester - cid - section number
current_sections,2,2023-3-2-1,x,23,3,T,1,,*professor_uid is not yet know at this point
current_sections,3,2023-3-3-1,x,23,3,W,1,,
current_sections,5,2023-3-5-1,x,23,3,M,3,,
current_sections,6,2023-3-6-1,x,23,3,T,3,,
current_sections,7,2023-3-7-1,x,23,3,W,3,,
current_sections,8,2023-3-8-1,x,23,3,R,3,,
current_sections,9,2023-3-9-1,x,23,3,T,1,,
current_sections,11,2023-3-11-1,x,23,3,M,3,,
current_sections,12,2023-3-12-1,x,23,3,M,1,invalid timeslot,
current_sections,10,2023-3-10-1,x,23,3,R,3,,
current_sections,13,2023-3-13-1,x,23,3,W,3,,
current_sections,14,2023-3-14-1,x,23,3,T,3,,
current_sections,15,2023-3-15-1,x,23,3,M,3,,
current_sections,16,2023-3-16-1,x,23,3,W,3,,
current_sections,19,2023-3-19-1,x,23,3,W,1,,
current_sections,20,2023-3-20-1,x,23,3,M,3,,
current_sections,21,2023-3-21-1,x,23,3,T,3,,
current_sections,22,2023-3-22-1,x,23,3,W,3,,
current_sections,18,2023-3-18-1,x,23,3,R,2,,
,,,,,,,,,
prerequisites,,,,,,,,,
,class_cid,prerequisite_cid,,,,,,,
prerequisites,6,5,,,,,,,
prerequisites,8,7,,,,,,,
prerequisites,9,2,,,,,,,
prerequisites,9,3,,,,,,,
prerequisites,11,2,,,,,,,
prerequisites,12,1,,,,,,,
prerequisites,14,3,,,,,,,
prerequisites,15,3,,,,,,,
prerequisites,16,14,,,,,,,
prerequisites,16,5,,,,,,,
prerequisites,17,3,,,,,,,
prerequisites,18,2,,,,,,,
prerequisites,18,3,,,,,,,
prerequisites,19,15,,,,,,,
